"Value Set Name","Value Set Clinical Focus","OID","Profile Element","Page","Notes or examples"
"Sickle Cell Disease and Related Blood Disorders","This value set contains concepts that represent sickle cell disease and related blood disorders.","2.16.840.1.113762.1.4.1029.35","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Anxiety","This value set contains ICD10CM and SNOMEDCT codes representing conditions related to anxiety.","2.16.840.1.113762.1.4.1032.52","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Gestational Diabetes","This value set contains codes that represent Gestational Diabetes.","2.16.840.1.113762.1.4.1032.90","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Multiple Sclerosis","This value set includes ICD10CM & SNOMED diagnostic codes for multiple sclerosis (MS).","2.16.840.1.113762.1.4.1034.187","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Familial Hypercholesterolemia","The purpose of this value set is to represent concepts for familial hypercholesterolemia.","2.16.840.1.113762.1.4.1047.100","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Urolithiasis","","2.16.840.1.113762.1.4.1106.26","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Social Determinants of Health Conditions","The value sets in this group represent all of the individual domain diagnoses identified by the Gravity Project.","2.16.840.1.113762.1.4.1196.788","Condition.code","mcc_chronic_condition_value_sets.html","Social Determinants of Health Conditions"
"Sleep Apnea Disorders","This set of values contains diagnoses or problem terms representing central, obstructive, and unknown cause sleep apnea disorders.","2.16.840.1.113762.1.4.1222.102","Condition.code","mcc_chronic_condition_value_sets.html","Respiratory Conditions"
"PostTraumatic Stress Disorder PTSD","This set of values contains diagnoses or problem terms representing Post-Traumatic Stress Disorder (PTSD) conditions.","2.16.840.1.113762.1.4.1222.103","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Elder and Child Abuse","This set of values addresses terms representing Experience of Abuse.","2.16.840.1.113762.1.4.1222.1281","Condition.code","mcc_chronic_condition_value_sets.html","Social Determinants of Health Conditions"
"Pink Eye Diagnosis","This set of values contains diagnosis terms representing pink eye.","2.16.840.1.113762.1.4.1222.1388","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Lymphadenopathy Diagnosis","This set of values contains diagnosis terms representing lymphadenopathy disease.","2.16.840.1.113762.1.4.1222.1394","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Bronchiectasis Diagnosis","This set of values contains diagnosis terms representing Bronchiectasis disease.","2.16.840.1.113762.1.4.1222.1463","Condition.code","mcc_chronic_condition_value_sets.html","Respiratory Conditions"
"Chronic obstructive pulmonary disease (COPD) Diagnosis","This set of values contains diagnosis terms representing Chronic obstructive pulmonary disease (COPD).","2.16.840.1.113762.1.4.1222.1466","Condition.code","mcc_chronic_condition_value_sets.html","Respiratory Conditions"
"Interstitial lung disease Diagnosis","This set of values contains diagnosis terms representing Interstitial Lung Disease.","2.16.840.1.113762.1.4.1222.1469","Condition.code","mcc_chronic_condition_value_sets.html","Respiratory Conditions"
"Asthma Diagnosis","This set of values contains diagnosis terms representing Asthma.","2.16.840.1.113762.1.4.1222.1472","Condition.code","mcc_chronic_condition_value_sets.html","Respiratory Conditions"
"Fibromyalgia Diagnosis","This set of values contains diagnosis terms representing Fibromyalgia.","2.16.840.1.113762.1.4.1222.1475","Condition.code","mcc_chronic_condition_value_sets.html","Musculoskeletal Conditions"
"Herpes zoster","This set of values contains diagnosis terms representing Herpes zoster.","2.16.840.1.113762.1.4.1222.1478","Condition.code","mcc_chronic_condition_value_sets.html","Infectious Disease Conditions"
"Pulmonary embolism Diagnosis","This set of values contains diagnosis terms representing Pulmonary embolism.","2.16.840.1.113762.1.4.1222.1481","Condition.code","mcc_chronic_condition_value_sets.html","Respiratory Conditions"
"Hypertension, Pulmonary Hypertension","This set of values contains diagnosis terms representing Pulmonary hypertension.","2.16.840.1.113762.1.4.1222.1484","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Postural tachycardia syndrome (POTS) Diagnosis","This set of values contains diagnosis terms representing Postural tachycardia syndrome (POTS).","2.16.840.1.113762.1.4.1222.1488","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Functional disorder of gastrointestinal tract Diagnosis","This set of values contains diagnosis terms representing Functional disorder of gastrointestinal tract.","2.16.840.1.113762.1.4.1222.1491","Condition.code","mcc_chronic_condition_value_sets.html","Functional Health Conditions"
"Mast Cell Activation Syndrome (MCAS) Diagnosis","This set of values contains diagnosis terms representing Mast Cell Activation Syndrome (MCAS).","2.16.840.1.113762.1.4.1222.1498","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Narcolepsy","This set of values contains diagnosis terms representing Narcolepsy.","2.16.840.1.113762.1.4.1222.1510","Condition.code","mcc_chronic_condition_value_sets.html","Hormonal Conditions"
"Small Fiber Neuropathy Diagnosis","This set of values contains diagnosis terms representing Small Fiber Neuropathy.","2.16.840.1.113762.1.4.1222.1516","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Malnutrition Diagnosis","This set of values contains diagnosis terms representing Malnutrition.","2.16.840.1.113762.1.4.1222.1517","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Neuropathy Diagnosis","This set of values contains diagnosis terms representing neuropathy.","2.16.840.1.113762.1.4.1222.1518","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Multisystem Inflammatory Syndrome in Adults (MIS A) Diagnosis","This set of values contains diagnosis terms representing Multisystem Inflammatory Syndrome in Adults (MIS-A).","2.16.840.1.113762.1.4.1222.1521","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Congestive Heart Failure Diagnosis","This set of values contains diagnosis terms representing Congestive heart failure.","2.16.840.1.113762.1.4.1222.1524","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Post Acute Sequelae of Sars Cov 2 Infection (PASC) Diagnosis","This set of values contains diagnosis terms representing Post Acute Sequelae of Sars-Cov-2 infection (PASC) (Long Covid) disease.","2.16.840.1.113762.1.4.1222.1530","Condition.code","mcc_chronic_condition_value_sets.html","Long Covid Diagnosis Condition"
